rank,zone,simple,fatal,total,road
1,ISBT Kashmiri Gate,12,7,19,Ring Road
2,Mukarba Chowk,11,7,18,GTK Road
3,Libaspur Bus Stand,11,7,18,GTK Road
4,Kashmiri Gate Chowk Boulevard Road,12,6,18,Boulevard Road
5,Britannia Chowk,9,6,15,Ring Road
6,Burari Chowk,8,6,14,Outer Ring Road
7,Bhalswa Chowk,5,6,11,Outer Ring Road
8,Wazir Pur Depot,4,6,10,Ring Road
9,Round About Mori Gate,2,6,8,Hamilton Road
10,Gandhi Vihar Bus Stand,11,5,16,Outer Ring Road
11,Anand Vihar ISBT,11,5,16,Road No.56
12,Okhla Mandi,6,5,11,Captain Gaud Marg
13,Sgt Nagar,6,5,11,GTK Road
14,Akshardham Mandir,5,5,10,NH-24
15,Shalimar Bagh,5,5,10,Ring Road
16,Metro Station Haider Pur,5,5,10,Outer Ring Road
17,Loni Road Crossing,5,5,10,Wazirabad Road
18,Metro Station Madipur,4,5,9,Rohtak Road
19,Raja Harishchander Hospital,2,5,7,DSIIDC Narela Road
20,Shamshan Ghat Punjabi Bagh,2,5,7,Ring Road
21,Haryana Maitri Bhawan,1,5,6,Road No 43
22,Shastri Park/IT Park,20,4,24,G.T.Road
23,Rajouri Garden,12,4,16,Ring Road
24,Swaroop Nagar,10,4,14,GTK Road
25,Modi Mill Flyover,10,4,14,Outer Ring Road
26,Punjabi Bagh Chowk,9,4,13,Ring Road
27,Metro Station Shivaji Park,7,4,11,Rohtak Road
28,Kings Way Camp Chowk,6,4,10,Ring Road
29,Round About Paharganj,6,4,10,Rani Jhansi Road
30,West Enclave Red Light,5,4,9,Outer Ring Road
31,Azadpur Sabzi Mandi,5,4,9,GTK Road
32,Tilak Nagar Flyover,5,4,9,Najafgarh Road
33,Nathu Colony Chowk Nand Nagri,4,4,8,Road No 68
34,Dabri Flyover,3,4,7,Pankha Road
35,Saraswati Vihar Bus Stand,3,4,7,Outer Ring Road
36,District Center Janakpuri,3,4,7,Najafgarh Road
37,Nangli Poona,3,4,7,GTK Road
38,CNG Pump/Jain Mandir NH-1,2,4,6,GTK Road
39,Toll Plaza Badarpur,2,4,6,Mathura Road
40,Round About Seemapuri,1,4,5,Road No 68
41,Peeragarhi Chowk,13,3,16,Outer Ring Road
42,Khajoori Chowk,11,3,14,Wazirabad Road
43,Madhuban Chowk,11,3,14,Outer Ring Road
44,Udyog Nagar,10,3,13,Rohtak Road
45,Wazirabad,10,3,13,Outer Ring Road
46,Mukundpur Chowk,10,3,13,Outer Ring Road
47,Maya Puri Chowk,9,3,12,Ring Road
48,Shani Mandir NH-1,9,3,12,GTK Road
49,Ber Sarai Flyover,9,3,12,Outer Ring Road
50,Sagarpur Bus Stand,9,3,12,Pankha Road
51,Kanhiya Nagar Metro Station,9,3,12,VIR Banda Bairagi Marg
52,Metro Station Welcome,8,3,11,G.T.Road
53,DTC Bus Depot Nand Nagri,8,3,11,Wazirabad Road
54,Sai Baba Mandir NH-1,7,3,10,GTK Road
55,Lado Sarai Crossing,7,3,10,Mehrauli Badarpur Road
56,Shaheen Bagh Road No-13A,7,3,10,Road No 13A
57,Tilak Pul Dabri,6,3,9,Pankha Road
58,Tikri Khurd Bus Stand,6,3,9,GTK Road
59,Kalkaji Mandir,5,3,8,Outer Ring Road
60,Rajghat,5,3,8,Ring Road
61,Deepali Chowk,5,3,8,Outer Ring Road
62,Metro Station Paschim Vihar,5,3,8,Rohtak Road
63,ITI Dheerpur,5,3,8,Outer Ring Road
64,Nigam Bodh Ghat,4,3,7,Ring Road
65,Metro Station Inderlok,4,3,7,VIR Banda Bairagi Marg
66,Keshopur T Point,4,3,7,Outer Ring Road
67,Mundka,4,3,7,Rohtak Road
68,Metro Station Ramesh Nagar,4,3,7,Najafgarh Road
69,RTR Flyover Vasant Vihar,4,3,7,Outer Ring Road
70,DSIIDC Red Light NH-1,4,3,7,GTK Road
71,Adarsh Nagar,4,3,7,GTK Road
72,ARSD College Ring Road,3,3,6,Ring Road
73,Sarai Kale Khan,3,3,6,Ring Road
74,Round About Okhla Estate,3,3,6,Anand Mai Marg
75,Anand Vihar Railway Flyover,3,3,6,Road No.56
76,Vijay Vihar Rohini,3,3,6,Rithala Road
77,Delhi Cantt Flyover,2,3,5,Jail Road
78,Shakarpur Red Light,2,3,5,Yamuna Pusta Road
79,Geeta Colony Flyover,2,3,5,Yamuna Pusta Road
80,Loha Mandi,1,3,4,Girdhari Lal Marg
81,Siraspur,1,3,4,GTK Road
82,Janak Puri East,1,3,4,Najafgarh Road
83,Mayur Vihar Extension,1,3,4,Noida Link Road
84,Pul Mithai SPM Marg,1,3,4,SPM Marg
85,Paper Market Gajipur,1,3,4,Paper Market Road
86,Goyla Village Najafgarh,1,3,4,Goyla Dairy Road
87,Near Haldi Ram Wazirpur,0,3,3,Ring Road
88,Surya Nagar Red Light,0,3,3,Road No.56
89,IG Indoor Stadium,13,2,15,Ring Road
90,Seelampur T Point,13,2,15,G.T.Road
91,Moti Bagh Flyover,12,2,14,Ring Road
92,Ashram Chowk,12,2,14,Ring Road
93,Shakarpur Chungi,11,2,13,Vikas Marg
94,Dhaula Kuan,10,2,12,Ring Road
95,Khaira More Najafgarh,10,2,12,Najafgarh Dwarka Road
96,Azadpur Chowk,10,2,12,GTK Road
97,Mahipalpur Flyover,9,2,11,NH-8
98,Uttam Nagar,8,2,10,Najafgarh Road
99,Shankar Vihar,8,2,10,NH-8
100,Shanti Van,8,2,10,Ring Road
101,Zakhira Flyover,13,1,14,Rohtak Road
102,Subhash Nagar Metro Station,11,1,12,Najafgarh Road
103,Under Pass Patparganj,9,1,10,Patparganj Road
104,Rajoukari Flyover,9,1,10,NH-8
105,Baraf Khana Chowk,9,1,10,Rani Jhansi Road
106,Mool Chand,15,0,15,Ring Road
107,Outer Circle CP Near Minto Road,10,0,10,Outer Circle CP
