segment_id,czones,crashes_total,crashes_fatal
abdul-gaffar-khan-marg_202672559_1,1,7,3
anuvrat-marg_750226396_0,1,10,3
azadpur-flyover_77629928_0,1,7,3
barapullah-road-flyover_1451905213_0,1,10,3
bhagwan-mahavir-marg_488174453_1,1,9,3
bhalswa-flyover_1312010667_0,1,11,6
cariappa-marg_1312801230_0,1,5,3
club-road-flyover_77860399_0,1,7,5
dabri-mor-flyover_258902102_0,1,7,4
delhi-dehradun-expressway_1273003606_0,1,10,5
delhi-dehradun-expressway_1499142540_0,2,34,9
delhi-gurugram-expressway_28616601_1,1,10,2
delhi-loni-road-flyover_175804080_0,1,10,5
doctor-kb-hedgewar-marg_502428936_0,1,14,6
doctor-kb-hedgewar-marg_502428945_0,1,8,3
doctor-kb-hedgewar-marg_502428945_1,1,13,3
flyover_1312995764_0,1,10,1
flyover_754391963_0,1,12,2
grand-trunk-road_1183847106_0,1,9,3
grand-trunk-road_1274043084_0,1,7,4
grand-trunk-road_78331491_1,1,14,4
gt-road_175800244_0,1,3,3
lajpat-nagar-flyover_566680385_0,1,6,3
mahatma-gandhi-marg_1324343885_0,1,7,3
mahatma-gandhi-marg_1324343886_0,1,14,3
mahatma-gandhi-marg_395885023_0,1,19,7
mahatma-gandhi-marg_565938871_0,1,15,0
mahatma-gandhi-marg_77629903_0,1,10,4
mahatma-gandhi-marg_77882055_0,1,12,2
mahatma-gandhi-road_749606334_0,1,3,3
mahatma-gandhi-road_77743815_0,1,12,3
mahatma-gandhi-road_77766249_0,1,15,6
mahipalpur-flyover_1312967333_0,1,11,2
mangolpuri-flyover_519445882_1,1,9,4
mayur-vihar-flyover_694332939_0,1,4,3
modi-mill-flyover_566009662_0,1,14,4
moti-bagh-flyover_567831209_0,1,14,2
najafgarh-daurala-road_1080064957_1,1,12,2
nand-nagari-flyover_1311996408_0,1,11,3
nand-nagari-flyover_1451596862_0,1,10,6
new-rohtak-road_749606311_1,1,6,4
nh44_77629927_0,1,18,7
nityanand-marg_570896882_0,1,4,3
nizamuddin-railway-station-flyover_1297654553_0,1,6,3
outer-ring-road_1089361801_0,1,8,3
outer-ring-road_1312961867_0,1,6,3
outer-ring-road_1313220166_0,1,11,5
outer-ring-road_263456933_0,5,38,21
outer-ring-road_77355797_0,1,8,3
palam-marg_558065090_0,1,7,3
punjabi-bagh-chowk_1499142545_0,1,13,4
raja-garden-flyover_77860395_0,1,16,4
rani-jhansi-flyover_464265868_0,1,12,3
ring-road_175769901_1,1,10,2
ring-road_679552310_0,1,5,3
rohtak-road_1492081914_0,1,16,3
rohtak-road_171505929_2,1,7,3
rohtak-road_198065394_1,2,20,6
rohtak-road_202664784_1,1,6,5
rohtak-road_77769991_0,1,7,4
sabz-burj-circle_680551205_0,1,8,4
sachivalaya-road-flyover_125736543_0,1,9,5
sachivalaya-road-flyover_614071991_0,1,8,3
shahdara-flyover_1312001710_0,1,11,3
shahdara-flyover_1312001715_0,1,10,1
shalimar-bagh-flyover_364876214_0,1,10,5
shivaji-marg_488174462_0,1,7,4
swami-dayanand-marg_446686632_0,1,16,5
unnamed_1075088436_0,2,30,10
unnamed_1108463529_0,1,4,3
unnamed_1274055800_0,1,15,2
unnamed_610375781_0,3,31,7
unnamed_705098615_0,1,13,3
unnamed_77643474_0,1,14,3
urban-extension-road-ii_1275944978_0,1,4,3
vikas-marg_1392323359_0,1,8,3
vikas-marg_1474862453_0,1,5,3
vikas-marg_577665921_0,2,19,4
vikas-marg_722082941_0,1,13,2
zakhira-flyover_77770030_0,2,21,4
